from_stop_id,to_stop_id,transfer_type,min_transfer_time
stop_point:SP_1110,stop_point:SP_2763,2,180
stop_point:SP_1113,stop_point:SP_1031,2,180
stop_point:SP_1113,stop_point:SP_1113,2,180
stop_point:SP_1114,stop_point:SP_1114,2,180
stop_point:SP_1114,stop_point:SP_911,2,180
stop_point:SP_1115,stop_point:SP_1047,2,180
stop_point:SP_1115,stop_point:SP_1115,2,180
stop_point:SP_1116,stop_point:SP_1116,2,180
stop_point:SP_1116,stop_point:SP_1991,2,180
stop_point:SP_1117,stop_point:SP_1117,2,180
stop_point:SP_1119,stop_point:SP_101,2,180
stop_point:SP_1119,stop_point:SP_1119,2,180
stop_point:SP_112,stop_point:SP_112,2,180
stop_point:SP_112,stop_point:SP_1537,2,180
stop_point:SP_1120,stop_point:SP_1120,2,180
stop_point:SP_1120,stop_point:SP_3645,2,180
stop_point:SP_1121,stop_point:SP_1104,2,180
stop_point:SP_1121,stop_point:SP_1121,2,180
stop_point:SP_1121,stop_point:SP_1256,2,180
stop_point:SP_1121,stop_point:SP_2843,2,180
stop_point:SP_1122,stop_point:SP_1122,2,180
stop_point:SP_1122,stop_point:SP_1740,2,180
stop_point:SP_1123,stop_point:SP_1123,2,180
stop_point:SP_1123,stop_point:SP_3308,2,180
stop_point:SP_1124,stop_point:SP_1124,2,180
stop_point:SP_1124,stop_point:SP_1905,2,180
stop_point:SP_1124,stop_point:SP_2161,2,180
stop_point:SP_1124,stop_point:SP_406,2,180
stop_point:SP_1124,stop_point:SP_528,2,180
stop_point:SP_1124,stop_point:SP_5534,2,180
stop_point:SP_1124,stop_point:SP_5600,2,180
stop_point:SP_1125,stop_point:SP_1125,2,180
stop_point:SP_1125,stop_point:SP_1708,2,180
stop_point:SP_1125,stop_point:SP_4521,2,180
stop_point:SP_1125,stop_point:SP_4755,2,180
stop_point:SP_1125,stop_point:SP_4756,2,180
stop_point:SP_1125,stop_point:SP_5260,2,180
stop_point:SP_1127,stop_point:SP_1127,2,180
stop_point:SP_1127,stop_point:SP_2143,2,180
stop_point:SP_1127,stop_point:SP_4773,2,180
stop_point:SP_1128,stop_point:SP_1128,2,180
stop_point:SP_1128,stop_point:SP_175,2,180
stop_point:SP_1129,stop_point:SP_1053,2,180
stop_point:SP_1129,stop_point:SP_1129,2,180
stop_point:SP_1130,stop_point:SP_1130,2,180
stop_point:SP_1130,stop_point:SP_1875,2,180
stop_point:SP_1132,stop_point:SP_1132,2,180
stop_point:SP_1132,stop_point:SP_1521,2,180
stop_point:SP_1132,stop_point:SP_1665,2,180
stop_point:SP_1132,stop_point:SP_3020,2,180
stop_point:SP_1132,stop_point:SP_3541,2,180
stop_point:SP_1132,stop_point:SP_453,2,180
stop_point:SP_1134,stop_point:SP_1134,2,180
stop_point:SP_1134,stop_point:SP_669,2,180
stop_point:SP_1135,stop_point:SP_1135,2,180
